변경구분,상점ID,상점명,할증ID,할증명,할증유형,판가(전→후),원가(전→후),종료일
매핑해제,237784,[길음역]길음역라와마라탕 1층,90043,[성북월곡]삼선동1가 3300원,POLYGON,3300,3000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90046,[성북월곡]삼선동2가 2200원,POLYGON,2200,2000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90047,[성북월곡]정릉동2구역 550,POLYGON,550,500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90049,[성북월곡]삼선동3가 1650원,POLYGON,1650,1500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90051,[성북월곡] 정릉동고려대 1구역550,POLYGON,550,500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90052,[성북월곡]삼선동4가 1650원,POLYGON,1650,1500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90053,[성북월곡]삼선동5가 1650원,POLYGON,1650,1500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90055,[성북월곡]보문동1가 1100원,POLYGON,1100,1000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90057,[성북월곡]보문동3가 2200원,POLYGON,2200,2000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90059,[성북월곡]정릉동508번지일대 550,POLYGON,550,500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90060,[성북월곡]보문동4가 1100원,POLYGON,1100,1000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90061,[성북월곡]보문동5가 1100원,POLYGON,1100,1000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90065,[성북월곡]보문동7가 1100원,POLYGON,1100,1000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90067,[성북월곡]동소문동1가 2200원,POLYGON,2200,2000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90068,[성북월곡]동소문동2가 2200원,POLYGON,2200,2000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90070,[성북월곡]동소문동3가 1650원,POLYGON,1650,1500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90072,[성북월곡]동소문동4가 1650원,POLYGON,1650,1500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90074,[성북월곡]동소문동5가 1100원,POLYGON,1100,1000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90081,[성북월곡]성북동1가 2200원,POLYGON,2200,2000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90083,[성북월곡] 센터피스 550원,POLYGON,550,500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90084,[성북월곡]전농동 6600원,POLYGON,6600,6000,
