상점_ID,상점명,관심상점_여부,분석_오더_건수,조기도착_건수,조기도착_비중_%,지각도착_건수,지각도착_비중_%,요청대비_도착차이_평균_분,조기_요청대비_픽업차이_평균_분,조기_도착후_대기_평균_분,지각_요청대비_픽업차이_평균_분,지각_도착후_대기_평균_분,타상점50건_조기도착_비중_%,타상점50건_지각도착_비중_%,타상점50건_요청대비_도착차이_평균_분,타상점50건_조기_요청대비_픽업차이_평균_분,타상점50건_조기_도착후_대기_평균_분,타상점50건_지각_요청대비_픽업차이_평균_분,타상점50건_지각_도착후_대기_평균_분,조기도착_비중_타상점대비_차이_pp,지각도착_비중_타상점대비_차이_pp,요청대비_도착차이_타상점대비_차이_분,조기_요청대비_픽업차이_타상점대비_차이_분,조기_대기_타상점대비_차이_분,지각_요청대비_픽업차이_타상점대비_차이_분,지각_대기_타상점대비_차이_분
261921,[직영A] 탕화쿵푸마라탕 전농점,N,109,85,77.98,24,22.02,-3.44,-4.35,1.37,5.99,1.35,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,8.91,-8.91,-1.02,-0.34,-1.49,-2.28,0.6
263454,[직영A] 굽네치킨 이문2호점,N,102,70,68.63,32,31.37,-2.02,-0.64,5.79,8.2,0.58,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-0.44,0.44,0.4,3.37,2.93,-0.07,-0.17
261896,[직영A] 가장맛있는족발 경희대점,N,97,68,70.1,29,29.9,-0.57,-2.67,2.61,10.93,0.44,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,1.03,-1.03,1.85,1.34,-0.25,2.66,-0.31
263939,이마트에브리데이 이문점,N,97,13,13.4,84,86.6,6.36,1.79,3.7,9.72,2.08,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-55.67,55.67,8.78,5.8,0.84,1.45,1.33
245458,이문)GS더프레시 이문라그란데점,N,88,70,79.55,18,20.45,-3.45,-5.58,1.36,11.38,1.23,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,10.48,-10.48,-1.03,-1.57,-1.5,3.11,0.48
102612,올리브영 휘경동점,N,82,71,86.59,11,13.41,-7.02,-8.25,0.56,4.82,0.29,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,17.52,-17.52,-4.6,-4.24,-2.3,-3.45,-0.46
261879,[직영A] 롯데리아 경희대점,N,78,65,83.33,13,16.67,-5.38,-5.51,1.99,5.82,0.62,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,14.26,-14.26,-2.96,-1.5,-0.87,-2.45,-0.13
218261,[유휴]올리브영 청량리중앙점,N,77,54,70.13,23,29.87,-2.73,-7.37,0.77,10.58,0.58,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,1.06,-1.06,-0.31,-3.36,-2.09,2.31,-0.17
263883,GS더프레시 장안한내점,N,77,64,83.12,13,16.88,-5.56,-7.36,0.62,7.76,1.37,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,14.05,-14.05,-3.14,-3.35,-2.24,-0.51,0.62
261916,[직영A] 푸라닭 장안1호점,N,76,33,43.42,43,56.58,2.02,-1.23,3.26,7.81,0.8,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-25.65,25.65,4.44,2.78,0.4,-0.46,0.05
